,Tick open,Spy gap percentage,high open difference dollar,Volume,xSpy close percentage
0,767.0,0.21067925899018672,0.7300000000000182,83433038.0,0.31999999999999834
1,876.0,0.18505496132351307,0.6100000000000136,57303857.0,0.11095084877399733
2,895.0,0.1795858530327844,0.7400000000000091,54790606.0,0.13187779324491053
3,966.0,0.17890970322037147,0.4000000000000341,39807490.0,-0.035005425841013314
4,989.0,0.22743972847194693,1.2300000000000182,57487399.0,-0.3721609683141432
5,818.0,0.17524568758160639,0.12000000000000455,44370037.0,0.26827171109199405
6,824.0,0.1907766812194966,2.2350000000000136,98176610.0,0.3785929574358497
7,806.0,0.17649654360936104,1.0,79552774.0,-0.24166971805200474
8,1230.0,0.2487203518131345,1.25,78114616.0,-0.3689904707315228
9,1052.0,0.22266915673035648,1.009999999999991,79667530.0,-0.15385165837776194
10,981.0,0.16010580905641275,0.6199000000000296,52601499.0,-0.18037392902980978
11,806.0,0.14806339805498459,0.8899999999999864,43687404.0,-0.09734810339038726
12,800.0,0.16263400710277545,0.3900000000000432,62104838.0,0.22916735859709647
13,988.0,0.142809697774809,1.1000000000000227,78099215.0,0.1494619370267001
14,845.0,0.2479168101370327,3.490000000000009,66700681.0,-1.0905384746050744
15,803.0,0.247222757336428,0.01999999999998181,40781669.0,0.06730337798860214
16,812.0,-0.13711436584605724,1.5142000000000166,149338220.0,-0.08418295762792337
17,1105.0,0.13074743952929646,1.3000000000000114,31024188.0,-0.3994550071220723
18,1044.0,0.24772403542454058,0.060000000000002274,42554820.0,0.27256395961097546
19,1003.0,0.23570651516982133,0.4800000000000182,95846017.0,-0.07531254707034192
20,901.0,0.1464566458439218,0.7099999999999795,44282089.0,-0.15198021277229518
21,827.0,0.17788405458997922,0.6800000000000068,38463381.0,-0.17145181913286986
22,1075.0,0.21425055734097953,1.6999999999999886,139156281.0,1.0392036664039472
23,917.0,0.2166260492824173,5.2000000000000455,104081136.0,-0.5374899220639647
24,1128.0,0.04414881092536912,2.259999999999991,90128883.0,1.4868778550742
25,1156.0,0.17180724862963143,2.5300000000000296,50749859.0,-0.6840611058537325
26,1066.0,0.19180376583731246,0.17000000000001592,74098312.0,1.0985416382717657
27,766.0,0.1387490818075444,0.9499999999999886,26457853.0,-0.24932249322493655
28,1308.0,0.21064272361040431,0.5400000000000205,49989113.0,0.562807165882787
