,Symbol,Side,Volume,Exec Count,Tags,Net P&L,Price MFE,Price MAE,Price MFE Datetime,Price MAE Datetime,Best Exit Datetime,gap percentage,avg volume,ATR,rvol,spy gap percentage,OP vs 5 day range SPY,OP vs big picture,OP vs 5 day range,OP VS PreMarket Range
0,NVDA,L,100,8,"Live,Opening Drive,fix risk management,missed op",31.48,2.12,-0.93,8/23/2021 9:30,8/23/2021 9:30,8/23/2021 15:06,0.74,38138394.05,6.48,1.509783027,0.41,5,5,5,2
1,NVDA,L,20,3,"Live,opening drive pullback",5.486,0.97,-0.92,8/23/2021 9:31,8/23/2021 9:31,8/23/2021 9:32,0.74,38138394.05,6.48,1.509783027,0.41,5,5,5,2
2,AMD,L,200,7,"Live,Opening Drive,Premarket resistnace breakout",40.26,0.78,0,8/23/2021 9:32,8/23/2021 9:32,8/23/2021 15:53,0.62,50265706.35,5.16,1.369428682,0.41,5,3,2,2
3,AMD,L,430,6,"Live,breakout whole dollar,opening drive pullback",-39.001,0.22,-0.08,8/23/2021 9:34,8/23/2021 9:34,8/23/2021 9:35,0.62,50265706.35,5.16,1.369428682,0.41,5,3,2,2
4,AMD,L,260,11,"Live,breakout HOD,opening drive pullback",56.718,0.6,-0.4,8/23/2021 9:36,8/23/2021 9:35,8/23/2021 15:53,0.62,50265706.35,5.16,1.369428682,0.41,5,3,2,2
5,NVDA,L,50,2,"Live,breakout HOD",-13.785,0,-0.55,8/23/2021 9:37,8/23/2021 9:38,8/23/2021 9:37,0.74,38138394.05,6.48,1.509783027,0.41,5,5,5,2
6,AMD,L,50,3,"Bounce from prior HOD,Live,retest support",0.515,0.29,-0.15,8/23/2021 9:39,8/23/2021 9:39,8/23/2021 9:49,0.62,50265706.35,5.16,1.369428682,0.41,5,3,2,2
7,NVDA,L,30,4,"Live,breakout HOD,consolidation breakout",5.529,0.66,-1.3,8/23/2021 9:43,8/23/2021 9:41,8/23/2021 9:45,0.74,38138394.05,6.48,1.509783027,0.41,5,5,5,2
8,BABA,L,200,2,"Live,fade LOD,missed op,re bid",-13.14,0.5999,-0.25,8/23/2021 9:42,8/23/2021 9:42,8/23/2021 9:52,0.84,19207873.41,5.43,4.617856339,0.41,5,1,1,2
9,BABA,L,50,7,"Live,fade LOD",20.115,1.53,-1.22,8/23/2021 9:52,8/23/2021 10:05,8/23/2021 15:59,0.84,19207873.41,5.43,4.617856339,0.41,5,1,1,2
10,AMD,L,300,11,"Live,breakout HOD,consolidation breakout",23.8,0.42,-0.18,8/23/2021 9:48,8/23/2021 9:47,8/23/2021 9:49,0.62,50265706.35,5.16,1.369428682,0.41,5,3,2,2
11,PFE,L,50,3,"Live,breakout of VWAP,morning below VWAP",12.615,0.85,-0.08,8/23/2021 9:58,8/23/2021 9:48,8/23/2021 10:06,3.22,33632385.34,1.29,2.635923652,0.41,5,4,3,3
12,AMD,L,50,2,"Live,bounce from VWAP",-1.285,0.2,-0.0699,8/23/2021 10:20,8/23/2021 10:16,8/23/2021 10:20,0.62,50265706.35,5.16,1.369428682,0.41,5,3,2,2
13,BABA,L,50,3,"Live,fade LOD",4.865,0.52,-0.24,8/23/2021 10:33,8/23/2021 10:32,8/23/2021 15:59,0.84,19207873.41,5.43,4.617856339,0.41,5,1,1,2
